#336699, #666666, #999999.
#BED661, #89E894, #78D5E3, #7AF5F5, #34DDDD, #93E2D5.
#FF3333, #999999, #669999, #003333.
#153450, #294052, #447294, #8FBCDB, #F4D6BC, #F8E4CC.
#B7C68B, #F4F0CB, #DED29E, #B3A580, #685642.
#7EB5D6, #2A75A9, #274257, #DFC184, #8F6048, #644436.
#6699CC, #003366, #C0C0C0, #000044.
#CCCCCC, #000000, #FF6600. 
#129793, #505050, #FFF5C3, #9BD7D5, #FF7260.
#6BCAE2, #51A5BA, #41924B, #AFEAAA, #87E293, #FE8402.
#7D9C9F, #BDD8DA, #DFEFF0, #AD235E, #ECECEC, #B1B1B1.
#003366, #CCCCCC, #FFCC00. 
#333333, #FFCC00, #669966, #993366.
#74A6BD, #7195A3, #D4E7ED, #EB8540, #B06A3B, #AB988B.
#A31E39, #485C5A, #8C9C9A, #9DB2B1, #BFCFCC, #D6E4E1.
#1C263C, #313C53, #455268, #B6C0D2, #9CFF00, #FFFFFF.
#006400, #B0C4DE, #0099CC, #CCFFFF.
#154890, #6699FF, #CDBFAC, #E1D4C0, #F5EDE3, #FF6600. 
#000044, #555555, #444444, #333333. 
#D9CCB9, #DF7782, #E95D22, #017890, #613D2D.
#FDB813, #F68B1F, #F17022, #62C2CC, #E4F6F8, #EEF66C. 
#561420, #821122, #C59A6F, #333333, #CCCCCC, #FCFCFC.
#FDEDD0, #BCF1ED, #FF634D, #FD795B.
#7C786A, #8DCDC1, #D3E397, #FFF5C3, #EB6E44.
#CEEBFB, #A3D6F5, #66A7C5, #EE3233, #F0ECEB, #6C7476. 
#CE0000, #000063, #5A79A5, #9CAAC6, #DEE7EF.
#020731, #3862C6, #6E7587, #806641, #AE956D. 
#EBC137, #E38C2D, #DB4C2C, #771E10, #48110C.
#FF9900, #336688, #FFCC00.
#00FF00, #004040, #D0CA9C, #000000. 
#2D3956, #455372, #616A7F, #E7E7E7, #E0E9E9, #FF1A00. 
#668E39, #96B566, #BCE27F, #7C7C7C, #C3C3C3, #F6FF97.
#E96D63, #7FCA9F, #F4BA70, #85C1F5, #4A789C, #FCFEFD.
#9C9284, #CCCC99, #E6E6CC, #6699CC, #FF9900, #000000.
#9DAF72, #566047, #562F32, #462D44, #859731, #640E27. 
#CC6600, #6699CC, #99CCFF, #CAE5FF, #DCDCDC, #EEEEEE.
#F1433F, #F7E967, #A9CF54, #70B7BA, #3D4C53. 
#004489, #E1E1D6, #D3D9DF, #989898, #565656, #DBDBCE.
#02243C, #005DB3, #5195CE, #E6E6E6, #F9F9F9, #5BC236.
#006666, #9DBCBC, #FFCC66, #FFEEBB, #6B6B6B, #B7B7B7.
#2B3E42, #747E80, #D5E1DD, #F7F3E8, #F2583E, #77BED2.
#054950, #789A9F, #EDF4F5, #FFFFFF, #F78F1E.
#FF8F00, #5A8F29, #3C7DC4, #2B2B2B.
#0A4958, #01B6AD, #F6E7D2, #FFFFFF.
#F2F5ED, #FFC200, #FF5B00, #B80028, #84002E, #4AC0F2. 
#52ADDA, #68B8DF, #C9C9C9, #DBDBDB, #AACD4B, #B5D954.
#9CAA9C, #BDCFBD, #CEDFCE, #EFEFDE, #BD9A52.
#000000, #2956B2, #659CEF, #7DBD00, #DCF600, #FF5B00. 
#996633, #FFFFFF, #336699. 
#E2DC7C, #A3CD39, #F43E71, #4A4A4A. 
#CE0000, #C6CFD6, #E7E7EF, #FFFFFF, #003031.
#092E20, #234F32, #326342, #92CC47, #9AEF3F, #FFE761. 
#47697E, #688B9A, #5B7444, #A3C586, #FFCC33, #FCF1D1. 
#D8DE1A, #B4BA22, #E2E2E2, #C6C6C6, #222222, #5E0F8B. 
#EDBD3E, #5B7778, #93A8A9, #D1E6E7.
#000000, #303F42, #55676A, #6C7A7D, #FFFFFF, #EEC015. 
#6D98AB, #00275E, #FEB729, #A8B1B8, #FFFFFF, #000000. 
#194E84, #3B6B9C, #1F242A, #37414A, #60BB22, #F2BABB. 
#DBE3F0, #B3BCCC, #8D96A8, #737C8C, #596171, #D8A412.
#F4733D, #2CC0B3, #38595E, #F6F7F8, #E3E4E5.
#EEBA4C, #E3493B, #23B5AF, #A9DDD9, #3A3A3C. 
#5A6571, #8A939D, #A2A9AF, #E5E8ED, #FD9308.
#304251, #3E5363, #6A7483, #55D43F, #67FF4D, #B8CEE0. 
#557260, #6A8B92, #8A9875, #34626B, #EAEEEA, #3291B1. 
#828E8C, #C5D0C1, #F8ECDE, #E8866C, #494546.
#7D868F, #000000, #5A6F8E. 
#C84127, #67C5C2, #3D2117, #FEFCE8.
#E7DBBD, #CEDFEF, #525552, #C64521.
#C5AAF5, #A3CBF1, #79BFA1, #F5A352, #FB7374, #423C40.
#374D3C, #355842, #4A6751, #F29F01, #AFAFA8, #DADAD4.
#5C6983, #89D7ED, #C1D3C8, #6A5A5B, #F5F4F4.
#000000, #272B2E, #3B4043, #666699, #BEF243. 
#1B619B, #ACCBE0, #D3E0EA, #F8F2E5, #9A9A9B, #D75A20.
#CCDDDD, #AAC4C4, #9EAEB3, #93AAAB, #749749, #CE3100. 
#BCC632, #D4DBB2, #837D1F, #62320C, #AC8C73. 
#859797, #919581, #DEE0D5, #D84E13. 
#F4F4AF, #E1EDCF, #D44302, #3F6B03. 
#F06E57, #735167, #F5C162, #0A2A34, #293741, #FFFFFF.
#F2C249, #E6772E, #4DB3B3, #E64A45, #3D4C53, #FFFFFF. 
#01243B, #336699, #5288DB, #9DA7B2, #C5C5C5, #71C42B. 
#1A202C, #1F7872, #72B095, #DEDBA7, #D13F31. 
#B89D7F, #7F9AB8, #7FB981, #B97FB7, #817FB9, #F5D776.
#ECF0F1, #BDC3C7, #95A5A6, #7F8C8D, #34495E, 2C3E50.
#FFFFFF, #F1F1F1, #F5F5F5, #DDDDDD, #4D4D4D, #333333.
#E44905, #E12B06, #D11800, #F5B79B, #F3AA9C, #ECA299, #FF0000, #FF5E99, #800000.
#1E4459, #F5EBD0, #E78841, #F1C340, #6588A2, #7AA546, #875A78, #D64638. 
#374D3C, #355842, #4A6751, #AAB6A2, #555555, #666666.
#FFFFCC, #FFCC33, #FF9900, #CC3300, #990000, #683300.
#336633, #669933, #66CC35, #6699CC. 
#129793, #505050, #FFF5C3, #9BD7D5, #FF7260. 
#92CD00, #77A600, #FF0000, #D70000, #DCF0F7, #CCFFFF, #E5E4D7, #999999.
#EDD6D1, #FFE7E0, #FFE6E0, #E65E9D, #FF80BF, #C23878, #1E4C52, #28636B.
#153438, #00394C, #004D66, #002633, #978199, #B096B3, #645666, #536178. 
#647691, #414C5E, #54453E, #876F64, #3B302B, #EBDABC, #EBE2D3, #D1C2A7.
#FFFFFF, #CCCCCC, #555555, #000000, #9999FF, #3333FF, #000044, #CC9090, #CC6060, #CC0000. 
#9C9F84, #FFFFCC, #000000, #EEEEEE, #5F021F. 
#CEE5E9, #6AA4B6, #39676C, #5C827D, #798E84, #647461, #22373C, #837A5D.
#555555, #AF0909, #FC0A0A, #CCCCCC, #666666, #070707, #333333, #AD0909, #FFFFFF, #B00909.
#F5F5F5, #AE0909, #303030, #2A2A2A, #7D7D7D, #F0F0F0, #D8D8D8, #979797, #000000.
#999999, #C3D9FF, #E5ECF9, #0F0F0F, #535353, #B2B1B1, #282828, #B50909, #5588AA, #CC6600.
#009EE0, #FFED00, #E2007A, #000000, #EEEEEE.
#005B9A, #0191C8, #74C2E1, #4CD9D2, #FFDE00, #A19D97, #C0C0C0.
#4086AA, #91C3DC, #87907D, #AAB6A2, #555555, #666666. 
#FFC56C, #6EC5E9, #003A6F, #F24949, #F2F1F1, #445569. 
#3D577A, #677C97, #E3E6EB, #797D32, #AEBD63, #8F2831, #B36474.
#20B2AA, #30D5C8, #96DED1, #FFFFFF, #91A3B0, #536872, #36454F. 
#3D0B42, #474447, #EDED00, #85D437, #FF6600. 
#333333, #FF9900, #FFFFFF, #666666, #999999, #BBBBBB. 
#442244, #CCCCCC, #880033, #336677, #EEEAAA. 
#0191C8, #49AFCD, #5BB75B, #7FB981, #9568B3, #AE97C9, #FAA732, #F5D776, #C99663.
#B89D7F, #EB7A3D, #DA4F49, #BDC3C7, #ECF0F1, #414141. 
#FFCBB1, #D8FFB1, #B1FFB1, #B1FFD8, #B1FFFF, #B1D8FF, #B1B1FF, #D8B1FF. 
#3087B4, #143D55, #287AA9, #7E9234, #96AD3E, #CCCCCC. 
#771100, #CC6633, #FF9900, #9CD92B, #999999, #CCCCCC, #E00404.
#F4F5E7, #82A9D0, #6D8CA0, #BACFE4, #FF9E01, #454F8C. 
#F4F5E7, #82A9D0, #6D8CA0, #BACFE4, #FF9E01, #454F8C. 
#F58735, #3A5D73, #6CCB17, #488FC8, #BEBECF. 